customer_id,query,category
101,"How do I return a product I no longer want?",return
102,"I need to send back a faulty item.",return
103,"How do I initiate a return for a purchase?",return
104,"I want to return a purchase from last week, what is your policy?",return
105,"My order was incorrect, I need to return it.",return
106,"What is your policy for returns?",return
107,"The item I received is damaged, I need to return it.",return
108,"Can I get a refund for my purchase?",return
109,"I'm missing a part from my delivery, can I return it?",return
110,"How can I get a return label?",return
111,"I received the wrong item in my shipment.",return
112,"The item doesn't fit, can I return it?",return
113,"I need to confirm if my return has been received.",return
114,"Is it possible to track my return shipment?",return
115,"I need to return an item, but I lost the original packaging.",return
116,"Can I exchange an item instead of getting a refund?",return
117,"What is your return policy for final sale items?",return
118,"How long does it take for a refund to be processed?",return
119,"The product I received is damaged.",return
120,"I need to know the status of my return.",return
121,"How can I get a replacement for a returned item?",return
122,"I'm not happy with my purchase, I want to return it.",return
123,"The item I ordered is not what I expected.",return
124,"My return has not been processed.",return
125,"The return window for my item has expired, what can I do?",return
126,"I need to request a return authorization number.",return
127,"Where can I find the return form?",return
128,"Can I return a gift I received?",return
129,"I was sent the wrong size, I need to return it.",return
130,"How long do I have to return an item?",return
131,"The color of the item is not what I expected, I want to return it.",return
132,"Can I return a used item?",return
133,"I need to know if I am eligible for a return.",return
134,"How do I pack my return shipment?",return
135,"What is your restock fee for returns?",return
136,"I am having trouble with the online return process.",return
137,"Can I drop off my return at a physical store?",return
138,"The item I ordered arrived too late, can I return it?",return
139,"I received two of the same item, I want to return one.",return
140,"How do I cancel a return request?",return
141,"What is the address for returns?",return
142,"Can I return an item without the original receipt?",return
143,"I want to return an item that was on sale.",return
144,"My refund is less than I expected, can you help?",return
145,"How do I get a new return label?",return
146,"The item is a gift, how can the recipient return it?",return
147,"I need to find the return address on your website.",return
148,"Can I return a defective item after the return window?",return
149,"How long do refunds usually take to be credited back?",return
150,"My return package was lost, what should I do?",return
151,"I need to return an item due to a change of mind.",return
152,"Can I exchange a product for a different color?",return
153,"What are the requirements for a full refund?",return
154,"The item I received is not working, can I return it?",return
155,"I need assistance with my return.",return
156,"Can I return an item that was purchased with a gift card?",return
157,"The item I received is different from the website description.",return
158,"I am having an issue with the return portal.",return
159,"My order was an exchange, and I need to return the new item.",return
160,"I want to return an item I bought from a third-party seller.",return
161,"What is your exchange policy?",return
162,"How do I return a product without a box?",return
163,"I need to return an item that was purchased in a bundle.",return
164,"Can I get an in-store credit instead of a refund?",return
165,"I've sent back my item, but have not received a confirmation.",return
166,"How do I return a digital product?",return
167,"The item arrived broken, I want to return it.",return
168,"I need to return an item from an old order.",return
169,"Can you tell me the steps for a return?",return
170,"What's the best way to return a fragile item?",return
171,"I need to return an item that was on a special offer.",return
172,"How do I handle a return for a product that is too heavy to ship?",return
173,"Can I get a refund for a gift I received?",return
174,"My order was a double shipment, I want to return the extra one.",return
175,"I need to return a subscription item.",return
176,"How do I get a new return shipping label?",return
177,"The item I received does not match the size chart, I need to return it.",return
178,"I've lost the original invoice, can I still return?",return
179,"How do I start a return on my account?",return
180,"I want to return an item I bought using a coupon code.",return
181,"How can I get a refund for a purchase I just made?",return
182,"The product I received is not compatible with my device.",return
183,"My return status shows pending, what does that mean?",return
184,"I need to return an item that came with a free gift.",return
185,"What is your policy on returning electronics?",return
186,"Can I return a product if the box is opened?",return
187,"I need a return authorization number.",return
188,"How can I return an item that was a gift?",return
189,"The return process on your site is confusing.",return
190,"Can you provide me with the details of your return policy?",return
191,"My refund was processed but I have not received it.",return
192,"What are the conditions for a return?",return
193,"Can I return a final sale item?",return
194,"I need to return an item due to a manufacturer's defect.",return
195,"The return label is not printing.",return
196,"How long does it take for you to receive my return?",return
197,"I want to return a product that I received as an exchange.",return
198,"Can I return a product that has been used once?",return
199,"How do I return an item that was part of a package deal?",return
200,"I am having a problem with the return form.",return
201,"I want to track my package.",shipping
202,"When will my order arrive?",shipping
203,"Do you offer international shipping?",shipping
204,"The tracking number shows the package was delivered, but I didn't receive it.",shipping
205,"My package is stuck in transit.",shipping
206,"Can I change the delivery date for my order?",shipping
207,"The shipping fee seems too high.",shipping
208,"My order is late, what should I do?",shipping
209,"I received a damaged package, but the product inside is okay.",shipping
210,"My order was shipped to the wrong address.",shipping
211,"My package says it's waiting for pickup, but I didn't get a notification.",shipping
212,"What are your international shipping options?",shipping
213,"I need to find out the status of my shipment.",shipping
214,"Can I track my package without a tracking number?",shipping
215,"I need to change my shipping address.",shipping
216,"What are the different shipping methods available?",shipping
217,"My package arrived damaged, what should I do?",shipping
218,"I need to contact the delivery service directly.",shipping
219,"My delivery was delayed, can I get a refund for shipping?",shipping
220,"Where is my delivery?",shipping
221,"How long will it take for my order to be delivered?",shipping
222,"Can I combine multiple orders into one shipment?",shipping
223,"I need to know the shipping costs to my location.",shipping
224,"My package is lost, what should I do?",shipping
225,"Do you offer free shipping on any orders?",shipping
226,"I need to know the estimated delivery time for my order.",shipping
227,"How do I get a tracking number for my order?",shipping
228,"My tracking information has not been updated in days.",shipping
229,"Can I upgrade my shipping method after placing the order?",shipping
230,"I have not received my order yet.",shipping
231,"My order shows as delivered but I don't have it.",shipping
232,"Can you tell me where my package is right now?",shipping
233,"I need to redirect my package to a different address.",shipping
234,"Is it possible to hold my delivery at a local post office?",shipping
235,"I need to arrange for a specific delivery time.",shipping
236,"My package arrived with a ripped box.",shipping
237,"What are the delivery options for my order?",shipping
238,"I was charged for shipping but I had a free shipping code.",shipping
239,"The delivery service left my package in an unsafe location.",shipping
240,"Can you help me with a delayed order?",shipping
241,"I need to find out the delivery status of my order.",shipping
242,"Is there an option for express shipping?",shipping
243,"I did not receive an email with my tracking information.",shipping
244,"How do I contact the shipping carrier?",shipping
245,"I want to know if my order has been shipped yet.",shipping
246,"My order is late, I want a refund on shipping fees.",shipping
247,"Where can I see the shipping details for my order?",shipping
248,"I received a delivery from a carrier I did not choose.",shipping
249,"What happens if I miss my delivery?",shipping
250,"How much does shipping cost?",shipping
251,"What is the warranty period for this product?",warranty
252,"I need to file a warranty claim.",warranty
253,"I need to know the status of my warranty claim.",warranty
254,"Does the warranty cover accidental damage?",warranty
255,"How do I register my product for the warranty?",warranty
256,"I need a copy of my original receipt for a warranty claim.",warranty
257,"What is covered under the manufacturer's warranty?",warranty
258,"I need to submit a claim for a defective item.",warranty
259,"My product broke after only a month of use.",warranty
260,"How can I extend the warranty on my device?",warranty
261,"My warranty claim was denied, can I appeal?",warranty
262,"What are the terms and conditions of the warranty?",warranty
263,"I'm having trouble with my product and think it's a warranty issue.",warranty
264,"How long does it take for a warranty repair?",warranty
265,"Do you have a support team for warranty issues?",warranty
266,"Where can I find the serial number of my product for the warranty?",warranty
267,"My product stopped working and is still under warranty.",warranty
268,"Can I transfer the warranty to a new owner?",warranty
269,"What is the process for an extended warranty?",warranty
270,"I have a question about the limited warranty.",warranty
271,"What proof of purchase is required for a warranty claim?",warranty
272,"How can I check if my product is still under warranty?",warranty
273,"My product broke after the warranty expired.",warranty
274,"Is there a cost for a warranty repair?",warranty
275,"I need to know the warranty details for my recent purchase.",warranty
276,"The repair for my warranty claim is taking too long.",warranty
277,"I have a question about the lifetime warranty.",warranty
278,"My device is not working correctly and is within the warranty period.",warranty
279,"How do I contact your warranty department?",warranty
280,"What are the steps to submit a warranty claim?",warranty
281,"Can I get a replacement product instead of a repair?",warranty
282,"I need to know if my issue is covered by the warranty.",warranty
283,"The item I bought came with a one-year warranty.",warranty
284,"My product is making a strange sound, is this a warranty issue?",warranty
285,"How do I get a new copy of my warranty information?",warranty
286,"What happens if my product is no longer in production?",warranty
287,"I need to know if the warranty is still valid.",warranty
288,"Can I purchase an additional protection plan?",warranty
289,"The warranty on my product is about to expire.",warranty
290,"I want to know the exclusions of my warranty.",warranty
291,"I need to find out the coverage details for my product.",warranty
292,"How can I use my warranty to get a new battery?",warranty
293,"I have a problem with my warranty registration.",warranty
294,"The product I bought has a defect, is it covered?",warranty
295,"What are the conditions for a full warranty?",warranty
296,"I was told my product has a five-year warranty.",warranty
297,"My warranty claim has been denied unjustly.",warranty
298,"What is the policy on getting a replacement under warranty?",warranty
299,"The product broke due to a fault, is it under warranty?",warranty
300,"I am having trouble with a warranty claim.",warranty
301,"I want to cancel my recent order.",cancellation
302,"How can I stop my subscription?",cancellation
303,"I want to cancel my pre-order.",cancellation
304,"Can I cancel a single item from my order?",cancellation
305,"Is there a deadline to cancel an order?",cancellation
306,"How do I cancel my trial subscription before it renews?",cancellation
307,"Can I change the size of the item in my order?",cancellation
308,"I need to cancel my order that has not been shipped.",cancellation
309,"How do I cancel my subscription permanently?",cancellation
310,"Is there a fee for canceling an order?",cancellation
311,"I want to cancel my account, how do I do that?",cancellation
312,"Can I get a refund for a canceled subscription?",cancellation
313,"My order status is still pending, can I cancel it?",cancellation
314,"How long does it take for a cancellation to be processed?",cancellation
315,"I need to cancel an item but the website won't let me.",cancellation
316,"Can I cancel my order after it has been shipped?",cancellation
317,"My order was placed by mistake, I need to cancel it.",cancellation
318,"How do I cancel a recurring payment?",cancellation
319,"I need to cancel an order from yesterday.",cancellation
320,"Is it too late to cancel my purchase?",cancellation
321,"What is your cancellation policy?",cancellation
322,"I would like to cancel my order and get my money back.",cancellation
323,"I need to cancel an item that is on backorder.",cancellation
324,"Is there a form I need to fill out to cancel?",cancellation
325,"I need to cancel a product I haven't received yet.",cancellation
326,"How can I cancel a part of my order?",cancellation
327,"I want to cancel a service I signed up for.",cancellation
328,"The website won't let me cancel, what should I do?",cancellation
329,"I need to cancel an item I pre-ordered.",cancellation
330,"Can I cancel a digital purchase?",cancellation
331,"My order was placed by mistake, I want to cancel it.",cancellation
332,"What are the consequences of canceling an order?",cancellation
333,"I want to cancel an order that is in transit.",cancellation
334,"How do I stop my monthly subscription?",cancellation
335,"I need to know the cut-off time for canceling an order.",cancellation
336,"Can I cancel an order that has already shipped?",cancellation
337,"I need to cancel a gift subscription.",cancellation
338,"The cancel button is not working on the website.",cancellation
339,"How do I remove an item from my cart and cancel the order?",cancellation
340,"Is there a cancellation fee?",cancellation
341,"I want to cancel a subscription but keep my account.",cancellation
342,"My order was canceled without my permission.",cancellation
343,"Can I get a full refund for a canceled item?",cancellation
344,"I want to cancel my order and place a new one.",cancellation
345,"How do I cancel a duplicate order?",cancellation
346,"I am trying to cancel an order but it says 'shipped'.",cancellation
347,"I need to cancel an order from my purchase history.",cancellation
348,"The cancellation process is confusing, can you help?",cancellation
349,"I need to cancel a product I have not paid for yet.",cancellation
350,"Can I cancel a backordered item?",cancellation
351,"I need to cancel a recurring charge.",cancellation
352,"How can I cancel an order I just placed?",cancellation
